No,구분,발급일자,시험번호,시험명,업체명,해당팀,비고,접수일자,접수번호,작성자(PL),시작일,종료일,업체명,시료명
72,성적서,2025-06-17 0:00,GS-C-25-0030,GS,(주)디월드,영남소프트웨어시험센터,,2025-05-16 0:00,25-02013,이진협,2025-06-17 0:00,2025-06-17 0:00,(주)디월드,AI 이미지 분류 모델 학습 프로그램 V1.0
73,성적서,2025-06-18 0:00,GS-C-25-0033,GS,주식회사 서원정보,영남소프트웨어시험센터,,2025-05-22 0:00,25-02123,전지은,2025-06-18 0:00,2025-06-18 0:00,주식회사 서원정보,Conne-X v1.0
74,성적서,2025-06-23 0:00,GS-C-25-0028,GS,부산대학교병원,영남소프트웨어시험센터,,2025-05-14 0:00,25-01990,김민우,2025-06-23 0:00,2025-06-23 0:00,부산대학교병원,건강BU심 v1.0
75,성적서,2025-06-25 0:00,GS-C-25-0020,GS,(주)데이터트리,영남소프트웨어시험센터,,2025-04-27 0:00,25-01818,이진협,2025-06-25 0:00,2025-06-25 0:00,(주)데이터트리,디티페이스 v1.0
76,성적서,2025-06-30 0:00,GS-C-25-0032,GS,(주)데이타이음,영남소프트웨어시험센터,,2025-05-22 0:00,25-02102,김민우,2025-06-30 0:00,2025-06-30 0:00,(주)데이타이음,EUM-LMS V1.0
77,성적서,2025-07-02 0:00,GS-C-25-0035,GS,㈜앤앤에스피,영남소프트웨어시험센터,,2025-05-30 0:00,25-02222,황현후,2025-07-02 0:00,2025-07-02 0:00,㈜앤앤에스피,nNetCDS Guard V2.0
78,성적서,2025-07-04 0:00,GS-C-25-0027,GS,부산대학교병원,영남소프트웨어시험센터,,2025-05-14 0:00,25-01989,김민우,2025-07-04 0:00,2025-07-04 0:00,부산대학교병원,응급BU심 v1.0
79,성적서,2025-07-14 0:00,GS-C-25-0038,GS,(주)오투에이브이,영남소프트웨어시험센터,,2025-06-09 0:00,25-02311,이진협,2025-07-14 0:00,2025-07-14 0:00,(주)오투에이브이,오캐스트라 v1.0
80,성적서,2025-07-15 0:00,GS-C-25-0036,GS,(주)이츠아이,영남소프트웨어시험센터,,2025-06-04 0:00,25-02268,김민우,2025-07-15 0:00,2025-07-15 0:00,(주)이츠아이,"GeoCon, 공간정보기반의 실시간 재난 상황 공유 플랫폼 V 1.0"
81,성적서,2025-07-17 0:00,GS-C-25-0044,GS,㈜케이티엔티,영남소프트웨어시험센터,,2025-07-07 0:00,25-02649,이진협,2025-07-17 0:00,2025-07-17 0:00,㈜케이티엔티,자가통신망 통합감시 및 관리시스템 v1.0
82,성적서,2025-07-21 0:00,GS-C-25-0039,GS,(주)다울,영남소프트웨어시험센터,,2025-06-13 0:00,25-02386,이진협,2025-07-21 0:00,2025-07-21 0:00,(주)다울,스마트 물류관리 솔루션 플랫폼 v1.0
83,성적서,2025-07-22 0:00,GS-C-25-0041,GS,㈜한국아이티에스,영남소프트웨어시험센터,,2025-06-20 0:00,25-02499,전지은,2025-07-22 0:00,2025-07-22 0:00,㈜한국아이티에스,지능형 학교안전 소프트웨어 v2.0
84,성적서,2025-07-23 0:00,GS-C-25-0037,GS,(주)하가,영남소프트웨어시험센터,,2025-06-05 0:00,25-02281,김민우,2025-07-23 0:00,2025-07-23 0:00,(주)하가,하티오아이 PH v1.10
85,성적서,2025-07-28 0:00,GS-C-25-0047,GS,주식회사 사미텍,영남소프트웨어시험센터,,2025-07-16 0:00,25-02766,전지은,2025-07-28 0:00,2025-07-28 0:00,주식회사 사미텍,SAMI GPT v1.0
